"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"3",1,"Drake Maye",NE,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"4",2,"Joe Burrow",CIN,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"5",2,"Jayden Daniels",WAS,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"6",2,"Jalen Hurts",PHI,"10","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+1"
"7",3,"Justin Herbert",LAC,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"8",3,"Caleb Williams",CHI,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"9",3,"Jaxson Dart",NYG,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"10",3,"Trevor Lawrence",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"11",3,"Dak Prescott",DAL,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"12",3,"Brock Purdy",SF,"8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+1"
"13",3,"Patrick Mahomes II",KC,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"14",4,"Bo Nix",DEN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"15",4,"Matthew Stafford",LAR,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"16",4,"Jared Goff",DET,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"17",4,"Kyler Murray",MIN,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"18",4,"Jordan Love",GB,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"19",4,"Baker Mayfield",TB,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"20",4,"Tyler Shough",NO,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"21",4,"Malik Willis",MIA,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"22",5,"C.J. Stroud",HOU,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"23",5,"Sam Darnold",SEA,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"24",5,"Cam Ward",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"25",5,"Bryce Young",CAR,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"26",5,"Daniel Jones",IND,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"",5
"27",5,"Jacoby Brissett",ARI,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"28",5,"Geno Smith",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"29",5,"Fernando Mendoza",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-2"
"30",5,"Michael Penix Jr.",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"31",5,"Tua Tagovailoa",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","0"
"32",5,"Aaron Rodgers",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-4"
"33",5,"Shedeur Sanders",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"34",5,"Kirk Cousins",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+2"
"35",6,"Deshaun Watson",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-3"
"36",6,"J.J. McCarthy",MIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","+2"
"37",6,"Mac Jones",SF,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+2"
"38",6,"Ty Simpson",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+2"
"39",6,"Anthony Richardson Sr.",IND,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"40",6,"Justin Fields",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-3"
"41",6,"Carson Beck",ARI,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-6"
"42",7,"Marcus Mariota",WAS,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+5"
"43",7,"Jameis Winston",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+5"
"44",7,"Joe Flacco",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+1"
"45",7,"Riley Leonard",IND,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+5"
"46",7,"Joe Milton III",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+3"
"47",7,"Gardner Minshew II",ARI,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+4"
"48",7,"Quinn Ewers",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"49",7,"Tyrod Taylor",GB,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+4"
"50",7,"Cade Klubnik",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-7"
"51",7,"Spencer Rattler",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"52",7,"Tyson Bagent",CHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"53",7,"Trey Lance",LAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-1"
"54",7,"Tanner McKee",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"55",7,"Will Howard",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"56",7,"Jimmy Garoppolo",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"57",7,"Kenny Pickett",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"58",8,"Jalen Milroe",SEA,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"59",8,"Jarrett Stidham",DEN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-18"
"60",8,"Davis Mills",HOU,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-6"
"61",8,"Tyler Huntley",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"62",8,"Dillon Gabriel",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"63",8,"Carson Wentz",MIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"64",8,"Taylen Green",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-20"
"65",8,"Nick Mullens",JAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"66",8,"Will Levis",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"67",8,"Mason Rudolph",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"68",8,"Zach Wilson",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"69",8,"Garrett Nussmeier",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"70",8,"Sam Howell",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"71",8,"Kyle Allen",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"72",8,"Aidan O'Connell",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"73",8,"Mitchell Trubisky",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"74",8,"Drew Allar",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-28"
"75",8,"Teddy Bridgewater",DET,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"76",8,"Drew Lock",SEA,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"77",8,"Jake Browning",TB,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"78",8,"Brady Cook",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"79",8,"Tommy DeVito",NE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"80",9,"Andy Dalton",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"81",9,"Hendon Hooker",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"82",9,"Josh Johnson",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"83",9,"Brandon Allen",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"